[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 5 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 5 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 5 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 5 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 6 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 6 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 6 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 5 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 5 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 9 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 5 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 7 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 5 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 6 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 8
[SIGNAL CHANGED] Maintained Previous Phase for: 5 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 5 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 6 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 5 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 5 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 6 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 8 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 6 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 4 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 3 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 2 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
[SIGNAL CHANGED] Maintained Previous Phase for: 1 Seconds | Current Cars Waiting: 9
